group	taxa	abund	relative_abund
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas;;;0.82	23	7.54509011461976e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Brucella;melitensis;;1	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;;;1	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;0.77	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;AB1;;;;0.8	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;AB1;;;;0.84	18	5.904853133180682e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira;;;0.5	12	3.936568755453788e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Trichorickettsia;mobilis;;0.83	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;;;0.95	9	2.952426566590341e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;;;0.99	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;;;1	382	0.0012531410538194558
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.52	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.53	760	0.002493160211787399
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;;;0.54	2196	0.007203920822480432
